,bedrooms,age,year,bathrooms,sqft_living,view,condition,grade,floors,sqft_lot,sqft_above,sqft_basement,sqft_living15,sqft_lot15,waterfront_1,is_renovated_1,predicted_price
0,3,54,2014,1.0,890,0,4,7,1.0,9870,890,0,1270,9861,0,0,230499.0
1,1,83,2014,1.0,800,0,2,6,1.0,16306,680,120,1270,8666,0,0,171367.0
2,3,9,2014,2.5,1750,0,3,7,2.0,4200,1750,0,1890,4048,0,0,351331.0
3,3,7,2014,3.25,1510,0,3,7,3.0,1245,1510,0,1510,1245,0,0,387079.0
4,3,41,2014,1.75,1390,0,4,7,1.0,9585,1390,0,1240,8188,0,0,289874.0
5,4,49,2015,1.75,3050,0,3,8,1.0,9440,1800,1250,2020,8660,0,0,432074.0
6,3,84,2015,1.0,1280,0,4,7,1.5,5460,1280,0,1390,5500,0,0,442016.0
7,3,50,2015,1.5,1250,0,3,7,1.0,8004,1250,0,1450,7931,0,0,276398.0
8,4,57,2014,1.0,1290,0,3,7,1.5,5000,1290,0,1440,2500,0,0,441273.0
9,3,25,2015,2.5,1510,0,3,7,1.0,10875,1150,360,1810,9916,0,0,317655.0
10,4,14,2014,3.0,3150,0,3,9,2.0,7778,3150,0,2970,6500,0,0,733582.0
11,3,67,2014,1.0,1280,0,4,6,1.5,8184,1280,0,1120,8184,0,0,294133.0
12,4,25,2014,2.5,2910,0,3,9,2.0,9000,2910,0,2530,9000,0,0,617683.0
13,4,38,2015,2.25,2380,0,4,8,2.0,7700,2380,0,2100,7700,0,0,461187.0
14,3,100,2014,2.25,3200,0,5,9,2.0,3800,2650,550,2400,3900,0,0,1444445.0
15,3,28,2015,2.25,2070,0,3,7,1.0,7995,1350,720,1620,6799,0,0,347779.0
16,3,49,2014,1.0,1230,0,3,6,1.0,8750,1230,0,1230,8750,0,0,208707.0
17,4,104,2014,2.0,2530,0,4,8,1.5,5650,1910,620,1310,5750,0,0,670378.0
18,2,98,2014,1.5,1640,0,5,7,1.5,4080,1540,100,1880,4080,0,0,661012.0
19,4,110,2014,2.25,2300,0,4,7,1.5,4600,1340,960,1540,3000,0,0,646478.0
20,3,66,2015,1.0,1010,0,4,7,1.0,15701,1010,0,1260,9800,0,0,286937.0
21,3,72,2014,1.0,2120,0,3,7,1.0,31564,1220,900,1790,11571,0,0,282240.0
22,3,18,2014,2.5,1930,0,3,8,2.0,10460,1930,0,2290,8228,0,0,398192.0
23,4,2,2015,3.75,5090,0,3,11,1.0,14823,4180,910,3030,12752,0,0,2055962.0
24,3,29,2015,1.5,1400,0,4,7,1.0,6865,1400,0,1480,8125,0,0,275399.0
25,3,54,2015,1.5,1450,0,4,7,1.0,6875,1450,0,1270,8000,0,0,319993.0
